Date,Geberas trend,Flower trend,Month,Year
2017-11-26 00:00:00,35,37,11,2017
2017-12-03 00:00:00,41,38,12,2017
2017-12-10 00:00:00,34,38,12,2017
2017-12-17 00:00:00,19,39,12,2017
2017-12-24 00:00:00,23,31,12,2017
2017-12-31 00:00:00,28,35,12,2017
2018-01-07 00:00:00,37,40,1,2018
2018-01-14 00:00:00,42,39,1,2018
2018-01-21 00:00:00,40,39,1,2018
2018-01-28 00:00:00,35,43,1,2018
2018-02-04 00:00:00,36,51,2,2018
2018-02-11 00:00:00,66,71,2,2018
2018-02-18 00:00:00,45,45,2,2018
2018-02-25 00:00:00,40,43,2,2018
2018-03-04 00:00:00,80,56,3,2018
2018-03-11 00:00:00,42,47,3,2018
2018-03-18 00:00:00,42,46,3,2018
2018-03-25 00:00:00,39,47,3,2018
2018-04-01 00:00:00,47,48,4,2018
2018-04-08 00:00:00,52,49,4,2018
2018-04-15 00:00:00,51,49,4,2018
2018-04-22 00:00:00,52,54,4,2018
2018-04-29 00:00:00,49,58,4,2018
2018-05-06 00:00:00,66,79,5,2018
2018-05-13 00:00:00,61,58,5,2018
2018-05-20 00:00:00,41,52,5,2018
2018-05-27 00:00:00,42,48,5,2018
2018-06-03 00:00:00,46,46,6,2018
2018-06-10 00:00:00,47,46,6,2018
2018-06-17 00:00:00,37,41,6,2018
2018-06-24 00:00:00,37,43,6,2018
2018-07-01 00:00:00,39,41,7,2018
2018-07-08 00:00:00,37,42,7,2018
2018-07-15 00:00:00,50,44,7,2018
2018-07-22 00:00:00,35,44,7,2018
2018-07-29 00:00:00,34,41,7,2018
2018-08-05 00:00:00,45,43,8,2018
2018-08-12 00:00:00,42,42,8,2018
2018-08-19 00:00:00,37,41,8,2018
2018-08-26 00:00:00,48,40,8,2018
2018-09-02 00:00:00,48,40,9,2018
2018-09-09 00:00:00,48,43,9,2018
2018-09-16 00:00:00,44,41,9,2018
2018-09-23 00:00:00,54,40,9,2018
2018-09-30 00:00:00,48,39,9,2018
2018-10-07 00:00:00,50,40,10,2018
2018-10-14 00:00:00,44,40,10,2018
2018-10-21 00:00:00,42,37,10,2018
2018-10-28 00:00:00,42,38,10,2018
2018-11-04 00:00:00,39,38,11,2018
2018-11-11 00:00:00,34,37,11,2018
2018-11-18 00:00:00,33,34,11,2018
2018-11-25 00:00:00,35,36,11,2018
2018-12-02 00:00:00,42,36,12,2018
2018-12-09 00:00:00,39,37,12,2018
2018-12-16 00:00:00,32,38,12,2018
2018-12-23 00:00:00,32,32,12,2018
2018-12-30 00:00:00,42,36,12,2018
2019-01-06 00:00:00,38,38,1,2019
2019-01-13 00:00:00,42,38,1,2019
2019-01-20 00:00:00,45,38,1,2019
2019-01-27 00:00:00,42,42,1,2019
2019-02-03 00:00:00,46,48,2,2019
2019-02-10 00:00:00,92,71,2,2019
2019-02-17 00:00:00,46,43,2,2019
2019-02-24 00:00:00,44,40,2,2019
2019-03-03 00:00:00,54,46,3,2019
2019-03-10 00:00:00,49,44,3,2019
2019-03-17 00:00:00,46,47,3,2019
2019-03-24 00:00:00,40,52,3,2019
2019-03-31 00:00:00,45,49,3,2019
2019-04-07 00:00:00,44,47,4,2019
2019-04-14 00:00:00,38,50,4,2019
2019-04-21 00:00:00,44,49,4,2019
2019-04-28 00:00:00,48,55,4,2019
2019-05-05 00:00:00,75,75,5,2019
2019-05-12 00:00:00,43,55,5,2019
2019-05-19 00:00:00,51,49,5,2019
2019-05-26 00:00:00,51,46,5,2019
2019-06-02 00:00:00,51,46,6,2019
2019-06-09 00:00:00,46,46,6,2019
2019-06-16 00:00:00,42,45,6,2019
2019-06-23 00:00:00,48,46,6,2019
2019-06-30 00:00:00,38,43,6,2019
2019-07-07 00:00:00,44,42,7,2019
2019-07-14 00:00:00,45,40,7,2019
2019-07-21 00:00:00,39,41,7,2019
2019-07-28 00:00:00,39,42,7,2019
2019-08-04 00:00:00,43,42,8,2019
2019-08-11 00:00:00,47,40,8,2019
2019-08-18 00:00:00,37,40,8,2019
2019-08-25 00:00:00,37,40,8,2019
2019-09-01 00:00:00,47,40,9,2019
2019-09-08 00:00:00,39,39,9,2019
2019-09-15 00:00:00,44,40,9,2019
2019-09-22 00:00:00,48,42,9,2019
2019-09-29 00:00:00,50,40,9,2019
2019-10-06 00:00:00,42,38,10,2019
2019-10-13 00:00:00,41,38,10,2019
2019-10-20 00:00:00,43,39,10,2019
2019-10-27 00:00:00,46,36,10,2019
2019-11-03 00:00:00,37,37,11,2019
2019-11-10 00:00:00,43,35,11,2019
2019-11-17 00:00:00,36,35,11,2019
