Date,HIPC change %,
Jan-96,0,in %
Feb-96,0.40,in %
Mar-96,0.90,in %
Apr-96,0.30,in %
May-96,-0.20,in %
Jun-96,-0.40,in %
Jul-96,0.20,in %
Aug-96,-0.10,in %
Sep-96,0.90,in %
Oct-96,0.20,in %
Nov-96,-0.10,in %
Dec-96,-0.10,in %
Jan-97,0.10,in %
Feb-97,0.20,in %
Mar-97,0.80,in %
Apr-97,0.10,in %
May-97,0.20,in %
Jun-97,-0.50,in %
Jul-97,0.30,in %
Aug-97,0.30,in %
Sep-97,0.90,in %
Oct-97,0.10,in %
Nov-97,0,in %
Dec-97,-0.30,in %
Jan-98,-0.30,in %
Feb-98,0.60,in %
Mar-98,0.80,in %
Apr-98,0.30,in %
May-98,-0.10,in %
Jun-98,-0.40,in %
Jul-98,0.20,in %
Aug-98,0,in %
Sep-98,0.80,in %
Oct-98,0.20,in %
Nov-98,0,in %
Dec-98,-0.30,in %
Jan-99,0.10,in %
Feb-99,0.50,in %
Mar-99,0.90,in %
Apr-99,0.20,in %
May-99,0,in %
Jun-99,-0.40,in %
Jul-99,-0.10,in %
Aug-99,0.50,in %
Sep-99,0.50,in %
Oct-99,0.10,in %
Nov-99,0.10,in %
Dec-99,-0.30,in %
Jan-00,-0.20,in %
Feb-00,0.60,in %
Mar-00,0.90,in %
Apr-00,0.20,in %
May-00,0.30,in %
Jun-00,-0.10,in %
Jul-00,-0.30,in %
Aug-00,0.40,in %
Sep-00,1.20,in %
Oct-00,0.20,in %
Nov-00,0,in %
Dec-00,-0.60,in %
Jan-01,0.90,in %
Feb-01,0.90,in %
Mar-01,0.90,in %
Apr-01,0.60,in %
May-01,0.30,in %
Jun-01,-0.40,in %
Jul-01,-0.10,in %
Aug-01,0.40,in %
Sep-01,1.20,in %
Oct-01,-0.10,in %
Nov-01,-0.10,in %
Dec-01,-0.30,in %
Jan-02,0.70,in %
Feb-02,0.50,in %
Mar-02,0.90,in %
Apr-02,0.50,in %
May-02,0,in %
Jun-02,-0.30,in %
Jul-02,-0.10,in %
Aug-02,0.30,in %
Sep-02,1.10,in %
Oct-02,-0.20,in %
Nov-02,-0.30,in %
Dec-02,-0.30,in %
Jan-03,0.30,in %
Feb-03,0.60,in %
Mar-03,1,in %
Apr-03,0.10,in %
May-03,-0.10,in %
Jun-03,-0.50,in %
Jul-03,0.10,in %
Aug-03,0.30,in %
Sep-03,1,in %
Oct-03,-0.30,in %
Nov-03,-0.30,in %
Dec-03,-0.60,in %
Jan-04,0,in %
Feb-04,0.40,in %
Mar-04,0.90,in %
Apr-04,0.30,in %
May-04,0.20,in %
Jun-04,-0.60,in %
Jul-04,-0.10,in %
Aug-04,0.30,in %
Sep-04,0.90,in %
Oct-04,0,in %
Nov-04,-0.30,in %
Dec-04,-0.90,in %
Jan-05,0.40,in %
Feb-05,0.60,in %
Mar-05,0.90,in %
Apr-05,0.20,in %
May-05,-0.10,in %
Jun-05,-0.30,in %
Jul-05,-0.20,in %
Aug-05,0.50,in %
Sep-05,0.90,in %
Oct-05,-0.10,in %
Nov-05,-0.30,in %
Dec-05,-0.50,in %
Jan-06,-0.40,in %
Feb-06,0.40,in %
Mar-06,0.80,in %
Apr-06,0.50,in %
May-06,0.10,in %
Jun-06,-0.40,in %
Jul-06,-0.20,in %
Aug-06,0.50,in %
Sep-06,0.40,in %
Oct-06,-0.30,in %
Nov-06,-0.20,in %
Dec-06,-0.40,in %
Jan-07,0.10,in %
Feb-07,0.50,in %
Mar-07,1.10,in %
Apr-07,0.50,in %
May-07,0.10,in %
Jun-07,-0.40,in %
Jul-07,-0.50,in %
Aug-07,0.20,in %
Sep-07,0.60,in %
Oct-07,0,in %
Nov-07,0.10,in %
Dec-07,-0.40,in %
Jan-08,0.30,in %
Feb-08,0.70,in %
Mar-08,1,in %
Apr-08,0.40,in %
May-08,0.40,in %
Jun-08,-0.20,in %
Jul-08,0.20,in %
Aug-08,0.20,in %
Sep-08,0.40,in %
Oct-08,-0.20,in %
Nov-08,-0.40,in %
Dec-08,-0.70,in %
Jan-09,0.30,in %
Feb-09,0.70,in %
Mar-09,1,in %
Apr-09,0.20,in %
May-09,0.10,in %
Jun-09,-0.40,in %
Jul-09,-1.10,in %
Aug-09,0.30,in %
Sep-09,0.50,in %
Oct-09,0.10,in %
Nov-09,-0.10,in %
Dec-09,-0.60,in %
Jan-10,0,in %
Feb-10,0.70,in %
Mar-10,1.20,in %
Apr-10,0.30,in %
May-10,0,in %
Jun-10,-0.50,in %
Jul-10,-0.30,in %
Aug-10,0.20,in %
Sep-10,0.60,in %
Oct-10,0.10,in %
Nov-10,-0.10,in %
Dec-10,-0.20,in %
Jan-11,-0.10,in %
