CO2-uitstoot energieverbruik sectoren,,,,
,"Gebouwde Omgeving (aardgas, elektr. en stadswarmte woningen)","Verkeer en vervoer incl. auto(snel)wegen (diesel, benzine, LPG, stookolie, aardgas)","Industrie, Energie, Afval en Water (aardgas en elektr.)","Landbouw, bosbouw en visserij, SBI A (aardgas, elektr.)"
1995,,219103,,
1996,,,,
2008,,,,
2009,,,,
2010,482262,312439,37892,855
2011,446236,307675,32308,795
2012,452429,299644,32248,1112
2013,457904,292626,33092,1087
2014,447406,290765,28066,1030
2015,468522,293489,29465,1164
2016,445706,298029,28772,1063
2017,420609,298289,30134,1675
2018,404720,300864,30133,1391
2019,362130,299583,25081,1145
2020,?,257203,21872,932
2021,339288,,23369,954
,,,,
Speciale waarden,? Ontbreekt,,,
Eenheid,ton,,,
Bron,Berekening CO₂-uitstoot o.b.v. emissiefactoren,,,
,Emissieregistratie,,,
,,,,
klimaatmonitor.databank.nl,,,,
,,,,
Datum export,vrijdag 25 november 2022,,,
