"Cao wages, contractual wage costs and working hours; index (2010=100)"
"Sector/branches (SIC 2008): A Agriculture, forestry and fishing"
"Version: Current figures"
""
"Topic";"Index figures|Hourly cao wages incl. special payments";"Index figures|Hourly contractual wage costs";"Year-on-year change|Hourly cao wages incl. special payments";"Year-on-year change|Hourly contractual wage costs"
"Cao sectors";"Total Collective labour agreement sector";"Total Collective labour agreement sector";"Total Collective labour agreement sector";"Total Collective labour agreement sector"
"Periods";"2010=100";"2010=100";"%";"%"
"2016 January";"106.9";"108.0";"0.8";"1.7"
"2016 February";"106.9";"108.0";"0.8";"1.7"
"2016 March";"107.0";"108.1";"0.7";"1.4"
"2016 April";"107.0";"108.1";"0.3";"1.0"
"2016 May";"107.0";"108.1";"0.3";"1.0"
"2016 June";"107.0";"108.1";"0.3";"1.0"
"2016 July";"107.6";"108.7";"0.7";"1.5"
"2016 August";"108.4";"109.7";"1.5";"2.4"
"2016 September";"108.4";"109.7";"1.5";"2.4"
"2016 October";"108.4";"109.7";"1.5";"2.4"
"2016 November";"108.4";"109.7";"1.5";"2.4"
"2016 December";"108.4";"109.7";"1.5";"2.4"
"2017 January";"109.9";"111.2";"2.8";"3.0"
"2017 February";"109.9";"111.2";"2.8";"3.0"
"2017 March";"109.9";"111.2";"2.7";"2.9"
"2017 April";"109.9";"111.2";"2.7";"2.9"
"2017 May";"109.9";"111.2";"2.7";"2.9"
"2017 June";"109.9";"111.2";"2.7";"2.9"
"2017 July";"110.4";"111.7";"2.6";"2.8"
"2017 August";"110.4";"111.7";"1.8";"1.8"
"2017 September";"110.4";"111.7";"1.8";"1.8"
"2017 October";"110.4";"111.7";"1.8";"1.8"
"2017 November";"110.4";"111.7";"1.8";"1.8"
"2017 December";"110.4";"111.7";"1.8";"1.8"
"2018 January";"112.2";"114.0";"2.1";"2.5"
"2018 February";"112.2";"114.0";"2.1";"2.5"
"2018 March";"112.2";"114.0";"2.1";"2.5"
"2018 April";"112.2";"114.0";"2.1";"2.5"
"2018 May";"112.2";"114.0";"2.1";"2.5"
"2018 June ";"112.2";"114.0";"2.1";"2.5"
"2018 July";"112.6";"114.5";"2.0";"2.5"
"2018 August";"112.6";"114.5";"2.0";"2.5"
"2018 September";"112.6";"114.5";"2.0";"2.5"
"2018 October";"112.6";"114.5";"2.0";"2.5"
"2018 November";"112.6";"114.5";"2.0";"2.5"
"2018 December";"112.6";"114.5";"2.0";"2.5"
"2019 January";"114.1";"116.7";"1.7";"2.4"
"2019 February";"114.1";"116.7";"1.7";"2.4"
"2019 March";"114.1";"116.7";"1.7";"2.4"
"2019 April";"114.1";"116.7";"1.7";"2.4"
"2019 May";"114.1";"116.7";"1.7";"2.4"
"2019 June";"114.1";"116.7";"1.7";"2.4"
"2019 July";"115.5";"118.3";"2.6";"3.3"
"2019 August";"115.5";"118.3";"2.6";"3.3"
"2019 September";"115.5";"118.3";"2.6";"3.3"
"2019 October";"115.6";"118.4";"2.7";"3.4"
"2019 November";"115.6";"118.4";"2.7";"3.4"
"2019 December";"115.6";"118.4";"2.7";"3.4"
"2020 January";"116.1";"116.9";"1.8";"0.2"
"2020 February";"116.1";"116.9";"1.8";"0.2"
"2020 March";"116.1";"116.9";"1.8";"0.2"
"2020 April";"116.1";"116.9";"1.8";"0.2"
"2020 May";"116.1";"116.9";"1.8";"0.2"
"2020 June";"116.1";"116.9";"1.8";"0.2"
"2020 July";"116.6";"117.4";"1.0";"-0.8"
"2020 August";"116.6";"117.4";"1.0";"-0.8"
"2020 September";"116.6";"117.4";"1.0";"-0.8"
"2020 October";"116.6";"117.5";"0.9";"-0.8"
"2020 November";"116.6";"117.5";"0.9";"-0.8"
"2020 December";"116.6";"117.5";"0.9";"-0.8"
"2021 January";"117.7";"119.2";"1.4";"2.0"
"2021 February";"117.7";"119.2";"1.4";"2.0"
"2021 March";"117.7";"119.2";"1.4";"2.0"
"2021 April";"118.2";"119.7";"1.8";"2.4"
"2021 May";"118.2";"119.7";"1.8";"2.4"
"2021 June";"118.3";"119.8";"1.9";"2.5"
"2021 July";"118.3";"119.8";"1.5";"2.0"
"2021 August";"118.3";"117.7";"1.5";"0.3"
"2021 September";"118.3";"117.7";"1.5";"0.3"
"2021 October";"118.3";"117.7";"1.5";"0.2"
"2021 November";"118.3";"117.7";"1.5";"0.2"
"2021 December";"118.3";"117.7";"1.5";"0.2"
"2022 January*";"119.9";"120.4";"1.9";"1.0"
"2022 February*";"119.9";"120.4";"1.9";"1.0"
"2022 March*";"119.9";"120.4";"1.9";"1.0"
"2022 1st quarter*";"119.9";"120.4";"1.9";"1.0"
"2022 April*";"120.0";"120.5";"1.5";"0.7"
"2022 May*";"120.1";"120.6";"1.6";"0.8"
"2022 June*";"120.1";"120.6";"1.5";"0.7"
"2022 2nd quarter*";"120.0";"120.5";"1.5";"0.7"
"2022 July*";"120.8";"121.4";"2.1";"1.3"
"2022 August*";"120.8";"121.4";"2.1";"3.1"
"2022 September*";"120.8";"121.4";"2.1";"3.1"
"2022 3rd quarter*";"120.8";"121.4";"2.1";"2.5"
"2022 October*";"121.9";"122.6";"3.0";"4.2"
"Source: CBS"
