"Cao wages, contractual wage costs and working hours; index (2010=100)"
"Sector/branches (SIC 2008): H Transportation and storage"
"Version: Current figures"
""
"Topic";"Index figures|Hourly cao wages incl. special payments";"Index figures|Hourly contractual wage costs";"Year-on-year change|Hourly cao wages incl. special payments";"Year-on-year change|Hourly contractual wage costs"
"Cao sectors";"Total Collective labour agreement sector";"Total Collective labour agreement sector";"Total Collective labour agreement sector";"Total Collective labour agreement sector"
"Periods";"2010=100";"2010=100";"%";"%"
"2016 January";"109.2";"111.1";"1.8";"2.1"
"2016 February";"109.2";"111.1";"1.8";"2.1"
"2016 March";"109.4";"111.3";"1.9";"2.2"
"2016 April";"109.5";"111.5";"1.9";"2.3"
"2016 May";"109.5";"111.5";"1.8";"2.2"
"2016 June";"109.5";"111.5";"1.8";"2.2"
"2016 July";"110.0";"111.9";"2.1";"2.6"
"2016 August";"110.0";"111.9";"2.1";"2.6"
"2016 September";"110.0";"111.9";"2.0";"2.5"
"2016 October";"110.0";"111.9";"2.0";"2.5"
"2016 November";"110.0";"111.9";"2.0";"2.5"
"2016 December";"110.0";"111.9";"2.0";"2.4"
"2017 January";"110.7";"113.2";"1.4";"1.9"
"2017 February";"110.7";"113.2";"1.4";"1.9"
"2017 March";"111.1";"113.5";"1.6";"2.0"
"2017 April";"111.2";"113.7";"1.6";"2.0"
"2017 May";"111.2";"113.7";"1.6";"2.0"
"2017 June";"111.2";"113.7";"1.6";"2.0"
"2017 July";"112.0";"114.6";"1.8";"2.4"
"2017 August";"112.0";"114.6";"1.8";"2.4"
"2017 September";"112.0";"114.6";"1.8";"2.4"
"2017 October";"112.3";"114.9";"2.1";"2.7"
"2017 November";"112.3";"114.9";"2.1";"2.7"
"2017 December";"112.3";"114.9";"2.1";"2.7"
"2018 January";"113.6";"116.7";"2.6";"3.1"
"2018 February";"113.6";"116.7";"2.6";"3.1"
"2018 March";"113.9";"117.0";"2.5";"3.1"
"2018 April";"114.2";"117.3";"2.7";"3.2"
"2018 May";"114.3";"117.4";"2.8";"3.3"
"2018 June ";"114.3";"117.4";"2.8";"3.3"
"2018 July";"114.3";"117.4";"2.1";"2.4"
"2018 August";"114.3";"117.4";"2.1";"2.4"
"2018 September";"114.3";"117.4";"2.1";"2.4"
"2018 October";"114.7";"117.8";"2.1";"2.5"
"2018 November";"114.8";"118.0";"2.2";"2.7"
"2018 December";"114.8";"118.0";"2.2";"2.7"
"2019 January";"116.3";"120.0";"2.4";"2.8"
"2019 February";"116.4";"120.2";"2.5";"3.0"
"2019 March";"116.5";"120.3";"2.3";"2.8"
"2019 April";"116.7";"120.5";"2.2";"2.7"
"2019 May";"116.8";"120.6";"2.2";"2.7"
"2019 June";"116.8";"120.6";"2.2";"2.7"
"2019 July";"117.3";"121.1";"2.6";"3.2"
"2019 August";"117.4";"121.2";"2.7";"3.2"
"2019 September";"117.7";"121.5";"3.0";"3.5"
"2019 October";"117.7";"121.6";"2.6";"3.2"
"2019 November";"117.7";"121.6";"2.5";"3.1"
"2019 December";"117.7";"121.6";"2.5";"3.1"
"2020 January";"118.8";"122.6";"2.1";"2.2"
"2020 February";"119.0";"122.8";"2.2";"2.2"
"2020 March";"119.0";"122.9";"2.1";"2.2"
"2020 April";"119.1";"122.9";"2.1";"2.0"
"2020 May";"119.2";"123.0";"2.1";"2.0"
"2020 June";"119.2";"123.0";"2.1";"2.0"
"2020 July";"119.5";"123.3";"1.9";"1.8"
"2020 August";"119.5";"123.3";"1.8";"1.7"
"2020 September";"119.6";"123.4";"1.6";"1.6"
"2020 October";"119.6";"123.4";"1.6";"1.5"
"2020 November";"119.6";"123.4";"1.6";"1.5"
"2020 December";"119.7";"123.6";"1.7";"1.6"
"2021 January";"120.4";"124.9";"1.3";"1.9"
"2021 February";"120.5";"124.9";"1.3";"1.7"
"2021 March";"120.5";"124.9";"1.3";"1.6"
"2021 April";"120.8";"125.2";"1.4";"1.9"
"2021 May";"120.8";"125.2";"1.3";"1.8"
"2021 June";"121.0";"125.4";"1.5";"2.0"
"2021 July";"122.5";"127.1";"2.5";"3.1"
"2021 August";"122.5";"125.1";"2.5";"1.5"
"2021 September";"122.5";"125.1";"2.4";"1.4"
"2021 October";"122.5";"125.1";"2.4";"1.4"
"2021 November";"122.5";"125.1";"2.4";"1.4"
"2021 December";"122.6";"125.1";"2.4";"1.2"
"2022 January*";"125.7";"130.2";"4.4";"4.2"
"2022 February*";"125.9";"130.4";"4.5";"4.4"
"2022 March*";"126.5";"131.1";"5.0";"5.0"
"2022 1st quarter*";"126.0";"130.5";"4.6";"4.5"
"2022 April*";"126.4";"131.0";"4.6";"4.6"
"2022 May*";"126.4";"131.0";"4.6";"4.6"
"2022 June*";"126.4";"131.0";"4.5";"4.5"
"2022 2nd quarter*";"126.4";"131.0";"4.6";"4.5"
"2022 July*";"127.5";"132.1";"4.1";"3.9"
"2022 August*";"127.5";"132.1";"4.1";"5.6"
"2022 September*";"127.8";"132.4";"4.3";"5.8"
"2022 3rd quarter*";"127.6";"132.2";"4.2";"5.2"
"2022 October*";"128.0";"132.6";"4.5";"6.0"
"Source: CBS"
